marca,modelo,ano,quilometragem,preco,combustivel,car_documents,tipo,transmissão,year_range,km's driven_range
Honda,City IVTEC,2016,99000.0,3395000,Gasolina,Original,Nacional,Automatic,4,4
Toyota,Corrolla Altis,2017,110000.0,4600000,Gasolina,Original,Nacional,Automatic,5,4
Suzuki,Bolan,2013,16000.0,800000,Gasolina,Original,Nacional,Manual,4,1
Daihatsu,Hijet,2013,165280.0,1350000,Gasolina,Original,Importado,Automatic,4,6
KIA,Picanto,2021,43000.0,2975000,Gasolina,Original,Nacional,Automatic,6,2
Daihatsu,Mira,2014,92000.0,2075000,Gasolina,Original,Importado,Automatic,4,4
Suzuki,Alto,2004,125000.0,650000,Gasolina,Original,Nacional,Manual,1,5
Daihatsu,Move,2013,117000.0,1625000,Gasolina,Original,Importado,Automatic,4,4
Toyota,Passo,2018,80000.0,3725000,Gasolina,Original,Importado,Automatic,5,3
Suzuki,Wagon R,2015,134000.0,1750000,Gasolina,Original,Nacional,Manual,4,5
Suzuki,Swift,2014,120000.0,1940000,Gasolina,Original,Nacional,Manual,4,4
Honda,City Vario,2000,20000.0,820000,Gasolina,Original,Nacional,Manual,1,1
Daihatsu,Hijet,2011,95500.0,1025000,Gasolina,Original,Importado,Automatic,3,4
KIA,Picanto,2021,42386.0,2950000,Gasolina,Original,Nacional,Manual,6,2
Daihatsu,Mira,2012,145000.0,2300000,Gasolina,Original,Importado,Automatic,3,5
Toyota,Corolla XLI,2010,130000.0,1890000,Gasolina,Original,Nacional,Manual,3,5
Mercedes,C Class,2004,100000.0,2250000,Gasolina,Original,Importado,Automatic,1,4
Suzuki,Mehran VXR,2018,90000.0,1180000,Gasolina,Original,Nacional,Manual,5,3
Suzuki,Wagon R,2018,73000.0,2300000,Gasolina,Original,Nacional,Manual,5,3
KIA,Picanto,2022,27000.0,3280000,Gasolina,Original,Nacional,Automatic,6,1
Mitsubishi,Lancer,2005,120000.0,1025000,Gasolina,Original,Nacional,Manual,2,4
Suzuki,Bolan,2021,5000.0,1785000,Gasolina,Original,Importado,Manual,6,1
Daihatsu,Hijet,2019,70000.0,2600000,Gasolina,Original,Importado,Automatic,5,3
Toyota,Passo,2012,65000.0,2070000,Gasolina,Original,Importado,Automatic,3,3
Suzuki,Alto,2006,75000.0,575000,Gasolina,Original,Importado,Manual,2,3
Suzuki,Alto,2021,42000.0,2500000,Gasolina,Original,Nacional,Automatic,6,2
Honda,Civic Prosmetic,2006,120000.0,1325000,Gasolina,Original,Nacional,Automatic,2,4
Toyota,Corrolla Altis,2018,60000.0,4775000,Gasolina,Original,Nacional,Automatic,5,2
Daihatsu,Cuore,2008,87000.0,930000,Gasolina,Original,Nacional,Manual,2,3
Daihatsu,Mira,2016,94000.0,2385000,Gasolina,Original,Importado,Automatic,4,4
Suzuki,Mehran VXR,2017,70000.0,1180000,Gasolina,Original,Nacional,Manual,5,3
Daihatsu,Hijet,2012,72000.0,1195000,Gasolina,Original,Importado,Automatic,3,3
Daihatsu,Cuore,2007,130000.0,960000,Gasolina,Original,Nacional,Manual,2,5
Suzuki,Alto,2006,100057.0,1100000,Gasolina,Original,Importado,Automatic,2,4
FAW,X-PV,2013,183000.0,600000,Gasolina,Original,Importado,Manual,4,7
Toyota,Corolla GLI,2010,10880.0,2375000,Gasolina,Original,Nacional,Manual,3,1
Honda,City IVTEC,2011,225000.0,2300000,Gasolina,Original,Importado,Manual,3,9
Daihatsu,Mira,2007,200000.0,750000,Gasolina,Original,Nacional,Manual,2,7
Daihatsu,Move,2020,21995.0,3425000,Gasolina,Original,Importado,Automatic,5,1
Honda,Civic Oriel,2004,161500.0,1425000,Gasolina,Original,Nacional,Manual,1,6
Honda,City IVTEC,2009,140000.0,2250000,Gasolina,Original,Nacional,Automatic,3,5
Suzuki,Alto,2021,50000.0,2675000,Gasolina,Original,Nacional,Automatic,6,2
Honda,City IVTEC,2017,90000.0,3050000,Gasolina,Original,Nacional,Manual,5,3
Daihatsu,Cuore,2008,111000.0,800000,Gasolina,Original,Nacional,Manual,2,4
Daihatsu,Mira,2020,26000.0,3385000,Gasolina,Original,Importado,Automatic,5,1
