marca,modelo,ano,quilometragem,preco,combustivel,car_documents,tipo,transmissão,year_range,km's driven_range,faixa_preco,faixa_preco_prevista,valor_estimado
Honda,City Aspire,2018,100000.0,335000,Gasolina,Original,Nacional,Manual,5,4,Premium,Premium,350855.0221465077
Hyundai,Santro,2006,75000.0,975000,Gasolina,Original,Importado,Manual,2,3,Luxo,Luxo,681403.3241134752
Honda,Civic Prosmetic,2006,186644.0,175000,Gasolina,Original,Nacional,Automatic,2,7,Econômico,Econômico,149497.18328086744
Toyota,Altis Grande,2015,107644.0,450000,Gasolina,Original,Nacional,Automatic,4,4,Luxo,Luxo,681403.3241134752
Suzuki,Wagon R,2017,60000.0,190000,Gasolina,Original,Nacional,Manual,5,2,Econômico,Econômico,149497.18328086744
Toyota,Corolla XLI,2004,250000.0,140000,Gasolina,Original,Nacional,Manual,1,10,Econômico,Econômico,149497.18328086744
Honda,City IVTEC,2019,45000.0,399500,Gasolina,Original,Nacional,Automatic,5,2,Premium,Premium,350855.0221465077
Suzuki,Swift,2016,74000.0,195000,Gasolina,Original,Nacional,Manual,4,3,Econômico,Intermediário,245657.07356430945
Toyota,Corolla XLI,2011,116500.0,232000,Gasolina,Original,Nacional,Manual,3,4,Intermediário,Intermediário,245657.07356430945
Toyota,Corolla GLI,2010,130000.0,210000,Gasolina,Original,Nacional,Manual,3,5,Intermediário,Intermediário,245657.07356430945
Suzuki,Mehran VXR,2014,62000.0,116000,Gasolina,Original,Nacional,Manual,4,3,Econômico,Econômico,149497.18328086744
Honda,City Aspire,2012,170000.0,256500,Gasolina,Original,Nacional,Manual,3,6,Intermediário,Intermediário,245657.07356430945
Suzuki,Alto,2011,100000.0,165000,Gasolina,Duplicate,Importado,Automatic,3,4,Econômico,Econômico,149497.18328086744
Mitsubishi,Minicab Bravo,2012,156000.0,145000,Gasolina,Original,Importado,Automatic,3,6,Econômico,Econômico,149497.18328086744
Daihatsu,Cuore,2006,124575.0,725000,Gasolina,Original,Importado,Automatic,2,5,Luxo,Luxo,681403.3241134752
Toyota,Corolla GLI,2019,46500.0,415000,Gasolina,Original,Nacional,Automatic,5,2,Luxo,Luxo,681403.3241134752
Daihatsu,Cuore,2007,1234.0,785000,Gasolina,Original,Importado,Manual,2,1,Luxo,Luxo,681403.3241134752
Daihatsu,Cuore,2003,246000.0,900000,Gasolina,Original,Importado,Manual,1,10,Luxo,Luxo,681403.3241134752
Suzuki,Wagon R,2016,120000.0,185000,Gasolina,Original,Nacional,Manual,4,4,Econômico,Econômico,149497.18328086744
